Pressure(bar),Adsorption(mmol/g)
0.0,0.0
0.167331618458,1.65892172817
0.429550107617,2.21142317182
0.854769279227,2.3938579453
1.30794267416,2.68384167148
1.52015853851,2.79044569269
1.95010236758,2.78824085254
2.49855635466,2.95465903722
2.58911228936,3.01573310935
3.29426741561,3.05827077537
3.47695417082,3.11887238175
3.56790382697,3.16455981941
4.51874114127,3.20583757678
4.5474828075,3.28261326054
5.37469158486,3.35529424117
5.46721612683,3.33943514095
6.10740721298,3.52076749436
6.25859625177,3.61229985826
7.16769909182,5.28456086934
9.24654837524,8.04313087301
11.8073127198,8.76846028663
14.1613733004,9.17177279647
16.2732951861,9.43786550475
18.141503491,9.62828494934
19.7656044937,9.75841776471
21.2054438553,9.88949551158
22.4614152974,10.0061315555
24.5158538506,10.1186728962
26.1100320227,10.2181899312
27.3978949026,10.2885085831
28.7774948816,10.3737414037
