Pressure(kPa),Adsorption(mg/g)
0.0,0.0
14.367816092,13.178913738
22.030651341,19.5686900958
26.245210728,22.7635782748
29.8850574713,27.1565495208
34.6743295019,31.5495207668
38.122605364,34.3450479233
41.1877394636,37.5399361022
44.2528735632,39.9361022364
47.3180076628,42.3322683706
50.3831417625,45.1277955272
53.0651340996,47.9233226837
56.3218390805,50.7188498403
59.3869731801,53.1150159744
62.2605363985,55.910543131
65.3256704981,58.7060702875
68.1992337165,61.1022364217
71.2643678161,63.8977635783
74.1379310345,66.2939297125
77.2030651341,69.089456869
81.8007662835,73.0830670927
86.5900383142,77.0766773163
91.7624521073,81.0702875399
96.9348659004,85.4632587859
101.724137931,89.8562300319
