Pressure(bar),Adsorption(mmol/g)
0.0,0.0
0.990566037736,1.43556280587
1.4858490566,2.088091354
1.98113207547,2.67536704731
3.99764150943,5.08972267537
5.97877358491,7.14518760196
7.95990566038,8.9396411093
9.97641509434,10.44045677
11.9929245283,11.6802610114
14.0094339623,12.5938009788
16.0259433962,13.3115823817
18.0070754717,13.8662316476
19.9882075472,14.3230016313
22.0047169811,14.7145187602
24.0212264151,15.0081566069
25.9669811321,15.2691680261
28.0188679245,15.4975530179
30.0,15.7259380098
