Pressure(kPa),Adsorption(mg/g)
0.0,0.0
1.91570881226,2.4077046549
7.08812260536,12.0385232745
14.7509578544,24.4783306581
17.4329501916,27.2873194222
19.1570881226,30.4975922953
21.0727969349,34.1091492777
22.7969348659,36.9181380417
25.0957854406,39.3258426966
27.0114942529,42.937399679
29.3103448276,46.1476725522
31.0344827586,48.5553772071
33.908045977,53.3707865169
36.7816091954,56.9823434992
40.0383141762,60.9951845907
42.9118773946,65.8105939005
45.9770114943,69.823434992
48.8505747126,73.8362760835
51.9157088123,78.2504012841
54.9808429119,82.2632423756
58.0459770115,85.4735152488
60.7279693487,89.8876404494
63.9846743295,93.4991974318
66.8582375479,97.1107544141
69.9233716475,101.123595506
73.1800766284,104.735152488
75.8620689655,107.945425361
80.8429118774,113.563402889
85.632183908,119.582664526
90.8045977011,125.200642055
95.5938697318,130.818619583
100.574712644,136.035313002
