Pressure(bar),Adsorption(mmol/g)
0.0,0.0
0.205456214577,0.453420611479
0.473427396823,0.952023628961
1.09363774248,2.01069689471
1.59929552167,3.22263909954
2.20768140816,4.4574119901
3.35106170671,6.6697533328
4.44375149677,8.25305340465
5.5321505548,9.32641494372
6.54526223358,10.1032968787
7.61091043346,10.7053564301
8.64672307815,11.1104015327
9.69909994412,11.4375349246
10.733016684,11.8033048615
11.7834976451,12.0911630877
12.8311347489,12.3201085655
13.8603117267,12.5876905883
14.9051049733,12.7577233176
15.9129779676,13.0050291371
