Pressure(bar),Adsorption(mmol/g)
0.0,0.0
0.881892983967,1.2084592145
1.45205187504,1.73716012085
1.96488383412,2.30362537764
3.95914394086,4.53172205438
5.95340404759,6.75981873112
7.94727535072,9.10120845921
9.91177038123,11.66918429
11.9335923437,14.1993957704
13.8991241839,16.4652567976
15.8944211002,18.3912386707
17.891273231,19.8640483384
19.9176312356,21.0725075529
21.9164273844,21.9788519637
23.9158715393,22.6963746224
25.9157044977,23.3006042296
27.8585993278,23.829305136
29.8875493565,24.2824773414
