Pressure(bar),Adsorption(mmol/g)
0,0
0.00003243,0.01022
0.00103477,0.46186
0.01946793,3.857
0.04084325,4.96779
0.0613311,5.48004
0.08627046,5.85892
0.09949784,6.00586
0.12060275,6.20068
0.14116787,6.35419
0.15146628,6.42281
0.1610168,6.48395
0.1805005,6.59797
0.20151562,6.70645
0.24992697,6.92612
0.30267413,7.13234
0.35360141,7.30823
0.40335722,7.47162
0.45240911,7.62263
0.50049843,7.76348
0.55058493,7.90222
0.60054145,8.03761
0.65055725,8.16845
0.70106018,8.29579
0.75051568,8.41683
0.80060191,8.5316
0.8504257,8.64521
0.90046099,8.75841
0.95050921,8.87183
1.00065541,8.97993
