Pressure(bar),Adsorption(mmol/g)
0.0,0.0
0.009765625,1.5
0.01953125,1.98611111111
0.041015625,2.83333333333
0.060546875,3.45833333333
0.0810546875,3.95833333333
0.1005859375,4.58333333333
0.150390625,6.30555555556
0.2001953125,7.38888888889
0.248046875,7.88888888889
0.30078125,8.27777777778
0.3486328125,8.56944444444
0.4013671875,8.75
0.4501953125,8.93055555556
0.5009765625,9.08333333333
0.5498046875,9.22222222222
0.599609375,9.34722222222
0.650390625,9.47222222222
0.69921875,9.56944444444
0.75,9.66666666667
0.7998046875,9.75
0.8505859375,9.81944444444
0.900390625,9.90277777778
0.9501953125,9.95833333333
0.99609375,10.0
1.0185546875,10.0277777778
