Pressure(bar),Adsorption(mmol/g)
0,0
0.00004809,0.00932
0.0009619,0.24658
0.0102744,1.95058
0.01906602,2.87966
0.04092624,4.12808
0.06483291,4.82547
0.08624421,5.21491
0.098732,5.3881
0.12122793,5.63904
0.14087867,5.81376
0.1510886,5.8942
0.16080167,5.96458
0.18093703,6.09619
0.20208281,6.21572
0.25029541,6.44487
0.30298921,6.65089
0.35343354,6.82109
0.40301887,6.98591
0.45258426,7.11947
0.50010384,7.24123
0.55071135,7.36736
0.60051464,7.48516
0.65105183,7.59732
0.70038771,7.70177
0.75038068,7.80686
0.80066033,7.90855
0.85055932,8.00953
0.90030198,8.10647
0.97006962,8.23444
1.0199118,8.32133
1.07013172,8.41187
