Pressure(bar),Adsorption(mmol/g)
0.0,0.0
0.268420212341,0.49461163886
0.475323301668,0.991298794604
1.08181328331,2.18679651952
1.63387083899,3.51784146244
2.22948431388,4.90907639499
3.38613594636,7.39634389718
4.48735730821,9.15638221442
5.58239203321,10.3672068332
6.59739961683,11.1833639339
7.66589167398,11.8443362337
8.70739203321,12.3672068332
9.76261275645,12.7532529736
10.7955815439,13.0993853277
11.8441666001,13.3479683883
12.8742915303,13.6351879939
13.9200327293,13.8248583061
14.9667218807,14.034166201
15.9930550012,14.2428354754
