crystal,CO2_henry coefficient [mmol/(g-bar)],Temperature [K],SO2_henry coefficient [mmol/(g-bar)],Temperature [K]
MFM601,1.370301,298,97.240663,298
SIFSIX-3-Ni,998.247377,298,367.978149,298
Zn-bdc-ted,2.158665,298,19.169554,298
Ni-bdc-ted,2.206897,298,40.402008,298
NOTT-202a,3.275732,293,153.600000,293
SIFSIX-2-Cu-i,16.173841,298,4108.772727,298
MFM600,1.418831,298,34.797254,298
SIFSIX-1-Cu,4.657709,298,405.417914,298
SIFSIX-3-Zn,111.993821,298,469.905660,298
NOTT-300,7.965262,293,483.863591,293
MFM-300-In,4.607513,298,171.432416,298
Zn-CN6,5.170580,298,4.364834,298
Mg-MOF-74,198.820320,298,150.412680,298
Co-CN6,2.440927,298,11.692121,298
