crystal,CO2_henry coefficient [mmol/(g-bar)],CO2_err henry coefficient [mmol/(g-bar)],CO2_Qst (kJ/mol),CO2_elapsed time (min),C2H6_henry coefficient [mmol/(g-bar)],C2H6_err henry coefficient [mmol/(g-bar)],C2H6_Qst (kJ/mol),C2H6_elapsed time (min),CH4_henry coefficient [mmol/(g-bar)],CH4_err henry coefficient [mmol/(g-bar)],CH4_Qst (kJ/mol),CH4_elapsed time (min),H2S_henry coefficient [mmol/(g-bar)],H2S_err henry coefficient [mmol/(g-bar)],H2S_Qst (kJ/mol),H2S_elapsed time (min),H2O_TIP5P_henry coefficient [mmol/(g-bar)],H2O_TIP5P_err henry coefficient [mmol/(g-bar)],H2O_TIP5P_Qst (kJ/mol),H2O_TIP5P_elapsed time (min)
ANUGIA_clean_iqeqcharged.cif,2.637418064926951,0.05907553782751323,18.27350466637598,88.42440059979756,6.512314279959713,0.0887693626918325,19.751309079277373,1.447751533985138,0.9017745890307148,0.004379340436143496,12.62883309617185,0.5106824159622192,6.335455224805239,0.06801254465708509,21.35512853520779,303.3990151842435,,,,
BEDYEQ_clean.cif,1.824753197800508,0.017777897564459334,19.00160873426557,4.389040033022563,5.98115553828419,0.04315819655168078,22.28320123177213,4.091314697265625,0.7732844679339252,0.0017091619716798508,13.739510998486576,1.8392361005147297,4.456969968082701,0.0801502098980939,22.00231358877695,18.90471969842911,,,,
BEDYEQ_clean_iqeqcharged.cif,4.932660678766561,0.09817700896832034,25.79730309036846,553.6039059678714,,,,,,,,,,,,,,,,
BIMDEF_clean_iqeqcharged.cif,65.73042710127586,2.4567221690880046,34.57189230885833,27.221769897143044,242.89880163203617,20.211134854739083,39.27988368923335,0.4396499514579773,5.280782435622024,0.16639327821748573,24.77544428832644,0.2840986688931783,111.32862078508539,6.785531534110786,34.62263791261143,61.76545026699702,,,,
CAXVII_clean_iqeqcharged.cif,8.366135605158627,0.4553664414905557,28.04619320812447,57.15702676375707,4.809932197960715,0.03859758400928044,20.68388925023272,0.49174880186716713,0.5852566112916814,0.005306744096741385,13.829789294314633,0.39173511664072674,7.840901485772301,0.45204873759839265,25.605324803749628,203.65793736775717,,,,
COF-102_iqeqcharged.cif,2.1609288783024256,0.007961944443050895,14.748232627488665,9005.385780533155,6.159857693258922,0.017603934256150065,16.8940277959988,6.002458914120992,1.0799894994001311,0.0011031359299166236,11.417532457970115,4.387304949760437,,,,,,,,
COF-103_iqeqcharged.cif,1.8746970006138526,0.0032318894850549462,13.9922371157537,198.45368479887645,4.679928461695402,0.01037927544393665,15.772528071720632,3.6132014671961468,0.9570836992371476,0.0012437509184256709,10.76409331204303,1.6292922854423524,3.4807350673510684,0.004678147718907622,15.514883316258032,414.852577149868,,,,
COF-105_iqeqcharged.cif,1.2075593471322343,0.002804270473235573,10.801437551459077,2416.4705706159275,1.8497188385366423,0.00291043585449661,11.747890057894296,10.905104998747507,0.7044373091248665,0.00024007537418514955,7.5919072301570765,3.8041764855384828,,,,,,,,
COF-108_iqeqcharged.cif,1.4301039857688074,0.013876770113362576,12.016750583919283,50.03670128186544,2.4288495372739023,0.02341802870299668,13.63628736249743,1.6890058159828185,0.7815220579044179,0.0009527971521413824,8.210459016229617,0.7946214318275452,2.260942556884007,0.011494417804329757,13.806105839682274,158.20384310086567,,,,
FIQCEN_clean_iqeqcharged.cif,6.255266327334292,0.20660772491029578,25.44709072469138,55.236638351281485,77.76207162264404,5.45294743155372,36.455715056941855,0.8773287494977315,1.9146469857570383,0.025604906758104284,20.859422274757836,0.4760465661684672,53.08806891443397,2.945815759658494,33.15960414958946,196.81268484989803,,,,
HOGLEV_clean_iqeqcharged.cif,10.009392131039826,0.2502935201829543,28.289591500848655,1232.9455383022625,22.20953487382239,0.2245808547614789,27.85430189068269,4.117734134197235,1.467203692845297,0.004021912008802497,17.342148269880003,3.045761835575104,,,,,,,,
KAMZUV_clean5b_iqeqcharged.cif,1.449356498618091,0.05942847790857671,20.1797365249155,152.3220881819725,5.009983975194055,0.10712099148148435,21.88486398151432,0.9497481505076091,0.603726682721043,0.009301213692911283,14.957296775233377,0.7051374832789103,3.350956433249506,0.07987782218873662,21.749687757190326,629.6552227139473,,,,
KAMZUV_manual.cif,1.6224828433272755,0.09628725961615842,21.023460939018378,146.13139464855195,5.08341978846498,0.07816645624175887,22.000967753261047,1.0057208816210428,0.5941532510222878,0.0030296054125630023,14.866020372609821,0.6580184698104858,3.420885783480819,0.1837559872810817,21.688122931053044,628.995688132445,,,,
