crystal,SO2_henry coefficient [mmol/(g-bar)],Temperature [K],CO2_henry coefficient [mmol/(g-bar)],Temperature [K]
Co-CN6,11.692121,298,2.440927,298
MFM-300-In,171.432416,298,4.607513,298
MFM600,34.797254,298,1.418831,298
MFM601,97.240663,298,1.370301,298
Ni-bdc-ted,40.402008,298,2.206897,298
NOTT-202a,153.6,293,3.275732,293
NOTT-300,483.863591,293,7.965262,293
SIFSIX-1-Cu,405.417914,298,4.657709,298
SIFSIX-2-Cu-i,4108.772727,298,16.173841,298
SIFSIX-3-Ni,367.978149,298,998.247377,298
SIFSIX-3-Zn,469.90566,298,111.993821,298
Zn-bdc-ted,19.169554,298,2.158665,298
Zn-CN6,4.364834,298,5.17058,298
