Pressure(torr),Adsorption(mmol/g)
0.0,0.0
7.53926701571,0.0649404798283
20.1047120419,0.116861898262
30.1570680628,0.163587100454
42.722513089,0.215508518888
85.445026178,0.386853274119
128.167539267,0.529663658402
171.727748691,0.65950659034
214.45026178,0.773782603676
257.172774869,0.882870549568
300.732984293,0.984179110559
343.455497382,1.07770285412
387.015706806,1.16604124649
430.57591623,1.25178560515
472.460732984,1.33233646383
515.183246073,1.40770197133
558.743455497,1.4830701951
602.303664921,1.55584438514
643.35078534,1.62082832522
686.910994764,1.69360251526
729.633507853,1.76118592159
835.183246073,1.89901195836
