crystal,CO2_henry coefficient [mmol/(g-bar)],CO2_err henry coefficient [mmol/(g-bar)],CO2_Qst (kJ/mol),C2H6_henry coefficient [mmol/(g-bar)],C2H6_err henry coefficient [mmol/(g-bar)],C2H6_Qst (kJ/mol),CH4_henry coefficient [mmol/(g-bar)],CH4_err henry coefficient [mmol/(g-bar)],CH4_Qst (kJ/mol),H2S_henry coefficient [mmol/(g-bar)],H2S_err henry coefficient [mmol/(g-bar)],H2S_Qst (kJ/mol),H2O_TIP5P_henry coefficient [mmol/(g-bar)],H2O_TIP5P_err henry coefficient [mmol/(g-bar)],H2O_TIP5P_Qst (kJ/mol),H2O_TIP5PE_henry coefficient [mmol/(g-bar)],H2O_TIP5PE_err henry coefficient [mmol/(g-bar)],H2O_TIP5PE_Qst (kJ/mol),H2O_TIP4PEw_henry coefficient [mmol/(g-bar)],H2O_TIP4PEw_err henry coefficient [mmol/(g-bar)],H2O_TIP4PEw_Qst (kJ/mol)
BEDYEQ_clean_iqeqcharged.cif,4.932660678766561,0.09817700896832034,25.79730309036846,5.98115553828419,0.04315819655168078,22.28320123177213,0.7732844679339252,0.0017091619716798508,13.739510998486576,12.068025355189912,0.4959527355572991,28.08400833213003,189544.9901936474,107117.60188273733,67.23355685892939,219501.2953524303,114721.96304723731,68.30085742276724,3723.6147940795227,940.0937769180451,54.553588387603945
KAMZUV_manual_iqeqcharged.cif,1.45413761962717,0.05037776775799655,20.211146783390767,5.08341978846498,0.07816645624175887,22.000967753261047,0.5941532510222878,0.0030296054125630023,14.866020372609821,3.2318962992457565,0.05744376277868745,21.506126416138937,0.15180052126828747,0.0024998113738976748,11.867681697570124,0.17570908901772445,0.003983522208317313,12.402905033226023,0.18597186894954237,0.0040695113705464135,13.320476818297589
LICGOW_iqeqcharged.cif,2.212548155079757,0.010899464056366352,17.73365908182142,11.359838099357997,0.06918939858939284,23.565096271743244,1.0322499945370005,0.007317603732443918,14.32175839394975,,,,2.638977842545797,0.17234954638074307,25.4415870952973,3.101792894819177,0.24827095642139452,26.403962007193112,5.201277115915812,0.9741630185261622,30.658756132067438
MERLAZ_clean_iqeqcharged.cif,2.414525457055301,0.03420639119174515,19.83169216155687,6.1598806664826995,0.06611638042598474,21.475576328537233,0.8393896717632482,0.004487734969521784,12.455592295030588,8.941318154432768,0.32599556009520414,25.352060741383518,879.9350240433852,488.7077988364088,53.693501090336696,1679.5458454942068,674.2839084223857,54.64139368550227,26.5133574555062,4.867815273944339,38.23844766324349
NIBBOR_clean.cif,0.954343728290593,0.1278833540810657,30.3476624135749,8.973803812101934,1.5799377115393778,38.68093919843974,1.7874509009126938,0.10140047292418956,28.88654782430282,42.32157959745863,6.932823579666337,38.59572901590554,0.06300089454736929,0.0027377566224099795,17.967951111245128,0.07941855167913771,0.005216583204380163,18.65004055279658,0.07352373651913817,0.004239876440554595,18.77351374445078
REWNEO_clean_iqeqcharged.cif,3.0317420982723244,0.06447172962393481,20.473517431444783,8.846528739999645,0.13598184757304646,23.38109269516776,0.967798958057767,0.0057968615497677395,13.933751190973577,10.364842419189802,0.31218889050265075,26.462454178203195,,,,,,,,,
RUBTAK01_clean_h_iqeqcharged.cif,6.611890762022276,0.22550466658546278,24.73150159673868,51.684469579503364,0.7192058110214846,29.508421499067595,1.7711395787638338,0.025868881578743255,19.007398010101262,48.64539670152011,2.6046851181613127,32.32509463191398,30.406797870951905,4.329624065939856,39.277577828005676,42.30850593434349,8.690876585339819,39.50711918728748,195.9006549007578,67.59120573186533,46.10814183903089
VOGTIV_clean_h_iqeqcharged.cif,5.7044806148588325,0.30199753333091567,23.664844633353127,9.377062917611898,0.1871737519843865,22.12533919959182,0.9309263215168823,0.011249380355190231,14.695009292533946,10.517595249210142,0.33911314380903235,24.99485362485399,21.195328835110768,4.440128765427282,34.44642817401133,34.67130659501588,1.8964858426112132,36.666896598542856,14.49267126101416,2.481734182038874,31.92155554098066
WIZMAV_iqeqcharged.cif,,,,9.45070649781891,0.062013402876744915,22.776570081261763,0.9778833648888945,0.0020408793991501593,14.593406082172027,,,,,,,,,,,,
ORIWET_iqeqcharged.cif,1.368300944874081,0.010810045279321789,18.436580409238744,,,,0.5269657779342739,0.0012708592949940564,13.523504398509665,,,,0.20377910284443024,0.0029884562675900122,13.381896136051061,0.23373783922117825,0.00714030475737472,13.959313494747338,0.22209074839959453,0.003103294011221723,13.56964265857808
OCUNAC_clean5b_iqeqcharged.cif,,,,18.966502239288328,0.04781647998640936,27.707722783659857,0.9899626644466416,0.0024960441851041935,15.649617640728813,,,,,,,,,,,,
